,Auction,Num Bids,Eng,Lowest Bid,2_bid,3_bid,4_bid,5_bid,6_bid,7_bid,8_bid,9_bid,10_bid
342,22368r,4,4132527.0,4489543.0,4545431.25,4817393.0,5057000.0,,,,,,
343,20952,4,2076298.5,2241203.0,2286367.69,2298169.65,2771565.15,,,,,,
344,23399,3,1176586.0,1287611.0,1456278.0,1462527.85,,,,,,,
345,22996,3,6200000.0,6178722.86,6311977.22,6730043.76,,,,,,,
346,24251,1,8286089.12,8666684.84,,,,,,,,,
347,23103,2,10700207.5,9185527.9,11075325.0,,,,,,,,
348,23060,2,6198999.7,6331944.2,6442274.36,,,,,,,,
349,22166,2,1100000.0,1233396.66,1469276.7,,,,,,,,
350,24244,6,3802740.0,3243201.55,3335103.83,3536568.85,3668336.85,3739388.0,4387433.84,,,,
351,24428,2,333300.0,258100.0,337400.0,,,,,,,,
352,24297,1,4233606.16,4233606.16,,,,,,,,,
353,24141,4,4075129.0,2999921.82,3459293.25,3970840.79,4958769.03,,,,,,
354,23124,2,2610000.0,2885726.1,3031770.49,,,,,,,,
355,22865,10,2600000.0,2627599.45,2771562.4,2852642.67,2934293.8,2992807.0,3072761.33,3144142.7,3165916.95,3284786.55,3333285.0
356,24500,3,2000000.0,1763226.0,2288808.0,2600000.0,,,,,,,
357,22796,4,4000000.0,4251133.2,4377377.67,4814651.5,5710127.8,,,,,,
358,20121,2,13000886.75,13278578.8,14304613.5,,,,,,,,
359,24338,3,2300000.0,2183681.75,2186898.65,2362267.05,,,,,,,
360,24367,1,10418382.62,10418752.22,,,,,,,,,
361,22943,1,11033818.3,12613255.77,,,,,,,,,
362,23490,3,20623355.9,21982066.35,24743109.8,24961248.3,,,,,,,
363,23321r,5,6600000.0,6134943.74,6613279.75,6916909.0,6992566.2,9563438.32,,,,,
364,20898,2,389706.5,825874.03,1187604.5,,,,,,,,
365,22995,10,1800000.0,1373919.9,1457347.0,1457792.3,1544908.0,1569224.0,1606678.97,1609035.15,1678853.9,1824000.0,1863581.25
366,23500,3,8759098.92,8032745.27,8959413.0,10167175.8,,,,,,,
367,22712,1,11537166.8,11537166.8,,,,,,,,,
368,21986,5,13501000.0,13636670.6,14122333.85,14299999.99,15065755.35,15333553.23,,,,,
369,24093,3,906503.5,996991.45,1075667.5,1406118.0,,,,,,,
370,23355,3,1032745.0,900069.0,1131946.0,1176051.0,,,,,,,
371,23605,1,18285665.17,18285665.17,,,,,,,,,
372,22845,3,7080602.2,6421280.1,6983248.3,7584859.7,,,,,,,
373,23675,2,2213575.0,2755466.0,2903990.0,,,,,,,,
374,24472,3,2004849.5,2621686.25,2768113.86,3070864.1,,,,,,,
375,23067,4,9230184.0,7018011.26,7196818.4,7581000.0,7968137.35,,,,,,
376,24053r,2,2289794.0,2264126.0,2872720.0,,,,,,,,
377,23169,6,8635332.1,8210403.86,8552999.1,8750996.2,8923770.38,8991379.0,11198619.36,,,,
378,23841,1,64489475.58,64489476.5,,,,,,,,,
379,23922r,4,1333156.0,1100750.0,1245289.6,1280000.0,1284642.0,,,,,,
380,22210,3,9919000.0,9696572.28,10983042.28,12858484.07,,,,,,,
381,22443,3,328845.0,384987.5,405000.0,760330.0,,,,,,,
382,21572,3,4524735.7,4047183.1,4129091.26,4700000.0,,,,,,,
383,21795,1,11762536.75,11566137.7,,,,,,,,,
384,21907,6,27586294.4,28491838.57,29078285.55,29959353.9,30235918.17,31339477.08,33966085.0,,,,
385,23178,3,12500586.55,12833876.9,13286170.47,13495866.16,,,,,,,
386,23005,8,1500000.0,1192142.1,1329977.3,1356071.0,1376998.62,1445577.0,1465423.82,1567845.0,1600000.0,,
387,24062,3,478554.0,473829.0,479843.8,500000.0,,,,,,,
388,17881c,3,31323797.51,26104984.43,28271548.65,32500734.12,,,,,,,
389,23865,4,1136277.0,1086039.0,1457538.0,1499988.5,1535924.5,,,,,,
